,SOC,SOH,Power,Temperature,SEI_after,SEI_delta
10,80,1,0.052632,23,1.00E-08,44.877633
11,80,1,0.15789,23,1.00E-08,46.189571
12,80,1,0.26316,23,1.00E-08,47.56054
13,80,1,0.36842,23,1.00E-08,48.999841
14,80,1,0.47368,23,1.00E-08,50.48187499
15,80,1,0.57895,23,1.00E-08,52.050384
16,80,1,0.68421,23,1.00E-08,53.687827
17,80,1,0.78947,23,1.00E-08,55.396963
18,80,1,0.89474,23,1.00E-08,57.177221
19,80,1,1,23,1.00E-08,59.041066
30,80,1.1111,0.052632,23,1.11E-08,44.821965
31,80,1.1111,0.15789,23,1.11E-08,46.06277101
32,80,1.1111,0.26316,23,1.11E-08,47.36472401
33,80,1.1111,0.36842,23,1.11E-08,48.702734
34,80,1.1111,0.47368,23,1.11E-08,50.10774201
35,80,1.1111,0.57895,23,1.11E-08,51.57704401
36,80,1.1111,0.68421,23,1.11E-08,53.09398001
37,80,1.1111,0.78947,23,1.11E-08,54.69214401
38,80,1.1111,0.89474,23,1.11E-08,56.34292801
39,80,1.1111,1,23,1.11E-08,58.05845601
50,80,1.2222,0.052632,23,1.22E-08,44.782388
51,80,1.2222,0.15789,23,1.22E-08,45.949718
52,80,1.2222,0.26316,23,1.22E-08,47.205431
53,80,1.2222,0.36842,23,1.22E-08,48.48361099
54,80,1.2222,0.47368,23,1.22E-08,49.802588
55,80,1.2222,0.57895,23,1.22E-08,51.193481
56,80,1.2222,0.68421,23,1.22E-08,52.627257
57,80,1.2222,0.78947,23,1.22E-08,54.125584
58,80,1.2222,0.89474,23,1.22E-08,55.66492
59,80,1.2222,1,23,1.22E-08,57.279016
70,80,1.3333,0.052632,23,1.33E-08,44.75298001
71,80,1.3333,0.15789,23,1.33E-08,45.892818
72,80,1.3333,0.26316,23,1.33E-08,47.07501401
73,80,1.3333,0.36842,23,1.33E-08,48.29152601
74,80,1.3333,0.47368,23,1.33E-08,49.5668
75,80,1.3333,0.57895,23,1.33E-08,50.87631301
76,80,1.3333,0.68421,23,1.33E-08,52.23925001
77,80,1.3333,0.78947,23,1.33E-08,53.66072001
78,80,1.3333,0.89474,23,1.33E-08,55.112178
79,80,1.3333,1,23,1.33E-08,56.64046001
90,80,1.4444,0.052632,23,1.44E-08,44.730353
91,80,1.4444,0.15789,23,1.44E-08,45.82124499
92,80,1.4444,0.26316,23,1.44E-08,46.976313
93,80,1.4444,0.36842,23,1.44E-08,48.138472
94,80,1.4444,0.47368,23,1.44E-08,49.359682
95,80,1.4444,0.57895,23,1.44E-08,50.60893799
96,80,1.4444,0.68421,23,1.44E-08,51.91816399
97,80,1.4444,0.78947,23,1.44E-08,53.25539699
98,80,1.4444,0.89474,23,1.44E-08,54.64406299
99,80,1.4444,1,23,1.44E-08,56.092428
110,80,1.5556,0.052632,23,1.56E-08,44.71230301
111,80,1.5556,0.15789,23,1.56E-08,45.77538898
112,80,1.5556,0.26316,23,1.56E-08,46.86581899
113,80,1.5556,0.36842,23,1.56E-08,47.98884701
114,80,1.5556,0.47368,23,1.56E-08,49.17106098
115,80,1.5556,0.57895,23,1.56E-08,50.36487799
116,80,1.5556,0.68421,23,1.56E-08,51.62231699
117,80,1.5556,0.78947,23,1.56E-08,52.922369
118,80,1.5556,0.89474,23,1.56E-08,54.24317901
119,80,1.5556,1,23,1.56E-08,55.62216099
130,80,1.6667,0.052632,23,1.67E-08,44.69570702
131,80,1.6667,0.15789,23,1.67E-08,45.72330201
132,80,1.6667,0.26316,23,1.67E-08,46.788259
133,80,1.6667,0.36842,23,1.67E-08,47.877288
134,80,1.6667,0.47368,23,1.67E-08,49.00326601
135,80,1.6667,0.57895,23,1.67E-08,50.16881199
136,80,1.6667,0.68421,23,1.67E-08,51.367626
137,80,1.6667,0.78947,23,1.67E-08,52.60275399
138,80,1.6667,0.89474,23,1.67E-08,53.88592099
139,80,1.6667,1,23,1.67E-08,55.202263
150,80,1.7778,0.052632,23,1.78E-08,44.68120002
151,80,1.7778,0.15789,23,1.78E-08,45.67877303
152,80,1.7778,0.26316,23,1.78E-08,46.70627501
153,80,1.7778,0.36842,23,1.78E-08,47.760382
154,80,1.7778,0.47368,23,1.78E-08,48.85457202
155,80,1.7778,0.57895,23,1.78E-08,49.98259501
156,80,1.7778,0.68421,23,1.78E-08,51.14829002
157,80,1.7778,0.78947,23,1.78E-08,52.33791101
158,80,1.7778,0.89474,23,1.78E-08,53.56540902
159,80,1.7778,1,23,1.78E-08,54.82609401
170,80,1.8889,0.052632,23,1.89E-08,44.66718398
